phase,url,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,sitemap_included,sitemap_lastmod,reason
after,https://python.robertdevore.com/course/building-and-consuming-apis/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/building-and-consuming-apis/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/chapter-1-beginner-python/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-1-beginner-python/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/chapter-2-intermediate-python/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-2-intermediate-python/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/chapter-3-advanced-python/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/chapter-3-advanced-python/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/concurrency-and-parallelism/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/concurrency-and-parallelism/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/course-conclusion-from-python-novice-to-professional-developer/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/exceptions-and-robust-error-handling/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/file-io-and-data-persistence/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/file-io-and-data-persistence/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/functions-and-modules/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/functions-and-modules/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/generators-decorators-and-context-managers/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/generators-decorators-and-context-managers/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/introduction-to-testing/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/introduction-to-testing/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/object-oriented-programming/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/object-oriented-programming/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/packaging-distribution-and-best-practices/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/page/2/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/2/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/page/3/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/3/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/page/4/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/page/4/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/python-setup-and-ides/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/python-setup-and-ides/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/python-syntax-and-data-types/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/python-syntax-and-data-types/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/syntax-and-data-types/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/syntax-and-data-types/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/virtual-environments-and-package-management/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/virtual-environments-and-package-management/,200,true,,indexable canonical
after,https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/course/welcome-to-the-complete-python-development-course/,200,true,,indexable canonical
after,https://python.robertdevore.com/,200,200,True,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://python.robertdevore.com/,200,true,,indexable canonical
